Stg TypeStg      Time/Vol   TotReturnSI       LayerSI        WellSI          Wprd          Temp
  2       2         0.3083        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3125        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3167        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3208        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3250        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3292        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3333        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3375        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3417        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3458        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3500        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3542        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3583        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3625        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3667        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3708        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3750        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3792        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3833        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3875        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3917        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.3958        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4000        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4042        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4083        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4125        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4167        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4208        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4250        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4292        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4333        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4375        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4417        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4458        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4500        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4542        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4583        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4625        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4667        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4708        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4750        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4792        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4833        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4875        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4917        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.4958        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5000        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5042        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5083        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5125        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5167        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5208        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5250        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5292        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5333        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5375        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5417        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5458        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5500        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5542        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5583        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5625        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5667        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5708        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5750        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5792        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5833        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5875        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5917        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.5958        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.6000        0.0000        0.0000        0.0000        0.0000        0.0000
  2       2         0.6042        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6083        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6125        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6167        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6208        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6250        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6292        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6333        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6375        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6417        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6458        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6500        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6542        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6583        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6625        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6667        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6708        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6750        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6792        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6833        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6875        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6917        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.6958        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7000        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7042        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7083        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7125        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7167        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7208        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7250        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7292        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7333        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7375        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7417        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7458        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7500        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7542        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7583        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7625        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7667        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7708        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7750        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7792        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7833        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7875        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7917        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.7958        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8000        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8042        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8083        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8125        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8167        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8208        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8250        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8292        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8333        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8375        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8417        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8458        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8500        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8542        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8583        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8625        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8667        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8708        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8750        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8792        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8833        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8875        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8917        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.8958        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9000        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9042        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9083        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9125        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9167        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9208        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9250        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9292        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9333        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9375        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9417        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9458        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9500        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9542        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9583        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9625        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9667        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9708        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9750        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9792        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9833        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9875        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9917        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         0.9958        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         1.0000        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         1.0042        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         1.0083        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         1.0125        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         1.0167        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         1.0208        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         1.0250        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         1.0292        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         1.0333        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         1.0375        0.0000        0.0000        0.0000        0.0000        0.0000
  3       5         1.0417        0.0000        0.0000        0.0000        0.0000        0.0000
