#Design  TotInjTime   TotInjVol   TotSICost  TotInjCost     TotCost     %OptObj     RealObj
87           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
88           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
89           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
90           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
91           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
92           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
93           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
94           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
95           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
96           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
97           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
98           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
99           26.50     3480.00    73530.00   228562.50   302092.50       -1.00       -1.00
