        X0         X1         X2     InjTim1     InjSI1     OFTim2    InjVol1     OFVol2     RealObj
     0.0500     1.0000     1.0000     0.2375  150000.00     9.7500       57.00     2340.00        1.47
     0.7750     1.0000     1.0000     3.6812  150000.00     9.7500      883.50     2340.00      184.34
     1.5000     1.0000     1.0000     7.1250  150000.00     9.7500     1710.00     2340.00      214.54
     1.0000     0.0500     1.0000     4.7500  7500.0000     9.7500     1140.00     2340.00        1.47
     1.0000     0.7750     1.0000     4.7500  116250.00     9.7500     1140.00     2340.00      187.12
     1.0000     1.5000     1.0000     4.7500  225000.00     9.7500     1140.00     2340.00      201.93
     1.0000     1.0000     0.0500     4.7500  150000.00     0.4875     1140.00      117.00       61.39
     1.0000     1.0000     0.7750     4.7500  150000.00     7.5563     1140.00     1813.50      174.11
     1.0000     1.0000     1.5000     4.7500  150000.00    14.6250     1140.00     3510.00      227.17
