 Stg  TypeStg      Time/Vol   TotReturnSI     LayerSI01     LayerSI02     LayerSI03      WellSI01      WellSI02      WellSI03        Wprd01        Wprd02        Wprd03        Temp01        Temp02        Temp03
   1        1        0.1458   150000.0000   149789.7863   149620.1918   149914.8150        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1500   150000.0000   149789.9379   149621.0322   149914.8504        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1542   150000.0000   149790.0689   149621.6884   149914.8859        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1583   150000.0000   149790.1858   149622.2100   149914.9213        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1625   150000.0000   149790.2933   149622.6334   149914.9568        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1667   150000.0000   149790.3942   149622.9848   149914.9922        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1708   150000.0000   149790.4908   149623.2838   149915.0276        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1750   150000.0000   149790.5843   149623.5443   149915.0630        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1792   150000.0000   149790.6758   149623.7768   149915.0984        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1833   150000.0000   149790.7658   149623.9888   149915.1337        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1875   150000.0000   149790.8549   149624.1858   149915.1691        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1917   150000.0000   149790.9433   149624.3717   149915.2044        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.1958   150000.0000   149791.0313   149624.5497   149915.2397        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.2000   150000.0000   149791.1189   149624.7217   149915.2750        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.2042   150000.0000   149791.2063   149624.8894   149915.3103        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   1        1        0.2083   150000.0000   149791.2935   149625.0540   149915.3456        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2125        0.0000   105751.5827   112752.6042    69520.5514        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2167        0.0000    71816.5242    82323.5727    29589.4160        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2208        0.0000    48761.7956    60094.1186    12585.8955        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2250        0.0000    33100.3190    43856.2864     5347.9305        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2292        0.0000    22462.4040    31996.4902     2268.6876        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2333        0.0000    15237.7242    23335.5338      959.9508        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2375        0.0000    10332.0045    17011.6884      404.6132        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2417        0.0000     7001.6665    12395.2401      169.6087        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2458        0.0000     4741.4538     9026.0357       70.6192        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2500        0.0000     3208.0639     6567.8386       29.2487        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2542        0.0000     2168.2486     4774.9707       12.1882        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2583        0.0000     1463.5449     3467.9320        5.3080        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2625        0.0000      986.3064     2515.5832        2.6287        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2667        0.0000      663.4157     1822.1244        1.6324        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2708        0.0000      445.2157     1317.5787        1.2785        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2750        0.0000      297.9881      950.8376        1.1565        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2792        0.0000      198.8426      684.5786        1.1149        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2833        0.0000      132.2440      491.5514        1.1006        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2875        0.0000       87.6523      351.8638        1.0956        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2917        0.0000       57.9197      250.9983        1.0937        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.2958        0.0000       38.2009      178.3631        1.0928        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3000        0.0000       25.2134      126.2328        1.0922        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3042        0.0000       16.7348       88.9752        1.0918        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3083        0.0000       11.2611       62.4856        1.0914        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3125        0.0000        7.7754       43.7741        1.0911        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.3167        0.0000        5.5911       30.6633        1.0907        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
