nPts
14
t(day/1000bbl,day/100m3)	C(ppm)
2.585000		348.208000 
20.585000		226.330000 
40.585000		147.406000 
60.585000		100.358000 
84.135000		67.588000 
104.135000		58.679000 
124.135000		52.951000 
144.135000		52.353000 
164.135000		46.135000 
184.135000		39.748000 
204.135000		32.196000 
224.135000		26.168000 
244.135000		21.377000 
264.135000		17.750000 
