nPts
19
t(day/1000bbl,day/100m3)	C(ppm)
1.300000 295.600000 
1.588000 586.600000 
1.876000 5331.600000 
2.163000 2474.400000 
2.192000 682.100000 
4.465000 98.700000 
5.041000 49.700000 
5.904000 25.100000 
7.343000 8.030000 
8.494000 10.000000 
19.142000 11.000000 
25.760000 8.145000 
33.242000 12.804000 
42.739000 13.902000 
47.343000 8.965000 
67.777000 15.727000 
76.120000 13.160000 
82.163000 8.034000 
87.919000 10.004000 
