Squeeze V - Near well squeeze treatment simulator


This is the MULTI-LAYER RADIAL model.

Well Geometry:

           0.50 feet        30  annuli, each  1.6500 feet of radius
          |<------>|
                                                   \    \    \    \
 (        +        )    )    )   . . . . . . . . .  |    |    |    |
                                                   /    /    /    /
 |<-- Well Bore -->|
          |<-------------------  50.00 feet ---------------------->|

Stage   Duration       Well Mode    Well  Rate    Well Conc.     Well Temp. 
 No.   (Hours/days)                  (Bpm/Bpd)  WatComp 1 (ppm)     (deg C)
-----  ------------  -------------  ----------  ---------------  ---------- 
  1           2.400  Inh.Injection       7.343	     150000.000	     111.000
  2          21.600  Water Inject        7.343	          0.000	     111.000
  3          12.000  Shut-in             0.000	          0.000	     111.000
  4           8.000  Production       7345.000	          0.000	     111.000

 Simulating ...

	Elapsed Time	Well Concentration  Cumulative Production     Recovered     Well Bottomhole Temp.
       (days)          Comp 1 (ppm)      Comp 1 (ppm.bbls)     Comp 1 (percent)          (deg C)      
    ------------    ------------------  ---------------------  ----------------  ----------------
          1.350               0.00000               0.00000              20.18112
          1.360               0.00000               0.00000              20.18628
          1.370               0.00000               0.00000              20.19144
          1.380               0.00000               0.00000              20.19660
          1.390               0.00000               0.00000              20.20175
          1.400               0.00000               0.00000              20.20691
          1.410               0.00000               0.00000              20.21207
          1.420               0.00000               0.00000              20.21723
          1.430               0.00000               0.00000              20.22239
          1.440               0.00000               0.00000              20.22755
          1.450               0.00000               0.00000              20.23270
          1.460               0.00000               0.00000              20.23786
          1.470               0.00000               0.00000              20.24302
          1.480               0.00000               0.00000              20.24817
          1.490               0.00000               0.00000              20.25333
          1.500               0.00000               0.00000              20.25849
          1.518               0.00000               0.00000              20.26844
          1.538               0.00000               0.00000              20.27838
          1.558               0.00000               0.00000              20.28802
          1.578               0.00000               0.00000              20.29751
          1.598               0.00000               0.00000              20.30691
          1.618               0.00000               0.00000              20.31625
          1.638               0.00000               0.00000              20.32555
          1.658               0.00000               0.00000              20.33486
          1.678               0.00000               0.00000              20.34423
          1.698               0.00000               0.00000              20.35378
          1.718               0.00000               0.00000              20.36366
          1.738               0.00000               0.00000              20.37416
          1.758               0.00000               0.00000              20.38565
          1.778               0.00000               0.00000              20.39867
          1.798               0.00000               0.00000              20.41395
          1.818               0.00000               0.00000              20.43241
          1.838               0.00000               0.00000              20.45520
          1.858               0.00000               0.00000              20.48374
          1.878               0.00000               0.00000              20.51968
          1.898               0.00000               0.00000              20.56493
          1.918               0.00000               0.00000              20.62167
          1.938               0.00000               0.00000              20.69228
          1.958               0.00000               0.00000              20.77939
          1.978               0.00000               0.00000              20.88578
          1.998               0.00000               0.00000              21.01440
          2.018               0.00000               0.00000              21.16828
          2.038               0.00000               0.00000              21.35054
          2.058               0.00000               0.00000              21.56429
          2.078               0.00000               0.00000              21.81262
          2.098               0.00000               0.00000              22.09855
          2.118               0.00000               0.00000              22.42494
          2.138               0.00000               0.00000              22.79452
          2.158               0.00000               0.00000              23.20979
          2.178               0.00000               0.00000              23.67301
          2.198               0.00000               0.00000              24.18616
          2.218               0.00000               0.00000              24.75092
          2.238               0.00000               0.00000              25.36865
          2.258               0.00000               0.00000              26.04037
          2.278               0.00000               0.00000              26.76675
          2.298               0.00000               0.00000              27.54811
          2.318               0.00000               0.00000              28.38440
          2.338               0.00000               0.00000              29.27524
          2.358               0.00000               0.00000              30.21991
          2.378               0.00000               0.00000              31.21734
          2.398               0.00000               0.00000              32.26618
          2.418               0.00000               0.00000              33.36476
          2.438               0.00000               0.00000              34.51116
          2.458               0.00000               0.00000              35.70321
          2.478               0.00000               0.00000              36.93849
          2.498               0.00000               0.00000              38.21443
          2.518               0.00000               0.00000              39.52824
          2.538               0.00000               0.00000              40.87704
          2.558               0.00000               0.00000              42.25778
          2.578               0.00000               0.00000              43.66737
          2.598               0.00000               0.00000              45.10260
          2.618               0.00000               0.00000              46.56027
          2.638               0.00000               0.00000              48.03714
          2.658               0.00000               0.00000              49.52996
          2.678               0.00000               0.00000              51.03553
          2.698               0.00000               0.00000              52.55068
          2.718               0.00000               0.00000              54.07230
          2.738               0.00000               0.00000              55.59737
          2.758               0.00000               0.00000              57.12293
          2.778               0.00000               0.00000              58.64616
          2.798               0.00000               0.00000              60.16434
          2.818               0.00000               0.00000              61.67484
          2.838               0.00000               0.00000              63.17521
          2.858               0.00000               0.00000              64.66310
          2.878               0.00000               0.00000              66.13632
          2.898               0.00000               0.00000              67.59280
          2.918               0.00000               0.00000              69.03065
          2.938               0.00000               0.00000              70.44808
          2.958               0.00000               0.00000              71.84349
          2.978               0.00000               0.00000              73.21541
          2.998               0.00000               0.00000              74.56249
          3.018               0.00000               0.00000              75.88355
          3.038               0.00000               0.00000              77.17753
          3.058               0.00000               0.00000              78.44352
          3.078               0.00000               0.00000              79.68071
          3.098               0.00000               0.00000              80.88844
          3.118               0.00000               0.00000              82.06616
          3.138               0.00000               0.00000              83.21343
          3.158               0.00000               0.00000              84.32991
          3.178               0.00000               0.00000              85.41538
          3.198               0.00000               0.00000              86.46970
          3.218               0.00000               0.00000              87.49283
          3.238               0.00000               0.00000              88.48480
          3.258               0.00000               0.00000              89.44573
          3.278               0.00000               0.00000              90.37581
          3.298               0.00000               0.00000              91.27528
          3.318               0.00000               0.00000              92.14447
          3.338               0.00000               0.00000              92.98375
          3.358               0.00000               0.00000              93.79352
          3.378               0.00000               0.00000              94.57426
          3.398               0.00000               0.00000              95.32648
          3.418               0.00000               0.00000              96.05070
          3.438               0.00000               0.00000              96.74749
          3.458               0.00000               0.00000              97.41746
          3.478               0.00000               0.00000              98.06123
          3.498               0.00000               0.00000              98.67942
          3.518               0.00000               0.00000              99.27270
          3.538               0.00000               0.00000              99.84172
          3.558               0.00000               0.00000             100.38717
          3.578               0.00000               0.00000             100.90973
          3.598               0.00000               0.00000             101.41007
          3.618               0.00000               0.00000             101.88889
          3.638               0.00000               0.00000             102.34687
          3.658               0.00000               0.00000             102.78469
          3.678               0.00000               0.00000             103.20304
          3.698               0.00000               0.00000             103.60257
          3.718               0.00000               0.00000             103.98396
          3.738               0.00000               0.00000             104.34785
          3.758               0.00000               0.00000             104.69490
          3.778               0.00000               0.00000             105.02573
          3.798               0.00000               0.00000             105.34096
          3.818               0.00000               0.00000             105.64121
          3.838               0.00000               0.00000             105.92705
          3.858               0.00000               0.00000             106.19908
          3.878               0.00000               0.00000             106.45786
          3.898               0.00000               0.00000             106.70393
          3.918               0.00000               0.00000             106.93783
          3.938               0.00000               0.00000             107.16007
          3.958               0.00000               0.00000             107.37117
          3.978               0.00000               0.00000             107.57160
          3.998               0.00000               0.00000             107.76184
          4.018               0.00000               0.00000             107.94234
          4.038               0.00000               0.00000             108.11354
          4.058               0.00000               0.00000             108.27587
          4.078               0.00000               0.00000             108.42974
          4.098               0.00000               0.00000             108.57553
          4.118               0.00000               0.00000             108.71363
          4.138               0.00000               0.00000             108.84440
          4.158               0.00000               0.00000             108.96820
          4.178               0.00000               0.00000             109.08535
          4.198               0.00000               0.00000             109.19619
          4.218               0.00000               0.00000             109.30102
          4.238               0.00000               0.00000             109.40013
          4.258               0.00000               0.00000             109.49382
          4.278               0.00000               0.00000             109.58236
          4.298               0.00000               0.00000             109.66600
          4.318               0.00000               0.00000             109.74499
          4.338               0.00000               0.00000             109.81958
          4.358               0.00000               0.00000             109.88998
          4.378               0.00000               0.00000             109.95642
          4.398               0.00000               0.00000             110.01910
          4.418               0.00000               0.00000             110.07822
          4.438               0.00000               0.00000             110.13396
          4.458               0.00000               0.00000             110.18651
          4.478               0.00000               0.00000             110.23604
          4.498               0.00000               0.00000             110.28271
          4.518               0.00000               0.00000             110.32667
          4.538               0.00000               0.00000             110.36807
          4.558               0.00000               0.00000             110.40705
          4.578               0.00000               0.00000             110.44374
          4.598               0.00000               0.00000             110.47827
          4.618               0.00000               0.00000             110.51076
          4.638               0.00000               0.00000             110.54132
          4.658               0.00000               0.00000             110.57006
          4.678               0.00000               0.00000             110.59708
          4.698               0.00000               0.00000             110.62248
          4.718               0.00000               0.00000             110.64635
          4.738               0.00000               0.00000             110.66877
          4.758               0.00000               0.00000             110.68984
          4.778               0.00000               0.00000             110.70962
          4.798               0.00000               0.00000             110.72820
          4.818               0.00000               0.00000             110.74564
          4.838               0.00000               0.00000             110.76200
          4.858               0.00000               0.00000             110.77736
          4.878               0.00000               0.00000             110.79176
          4.898               0.00000               0.00000             110.80527
          4.918               0.00000               0.00000             110.81794
          4.938               0.00000               0.00000             110.82982
          4.958               0.00000               0.00000             110.84095
          4.978               0.00000               0.00000             110.85138
          4.998               0.00000               0.00000             110.86116
          5.018               0.00000               0.00000             110.87031
          5.038               0.00000               0.00000             110.87889
          5.058               0.00000               0.00000             110.88691
          5.078               0.00000               0.00000             110.89443
          5.098               0.00000               0.00000             110.90146
          5.118               0.00000               0.00000             110.90805
          5.138               0.00000               0.00000             110.91421
          5.158               0.00000               0.00000             110.91997
          5.178               0.00000               0.00000             110.92535
          5.198               0.00000               0.00000             110.93039
