nPts
19
Ciso(ppm)		ADiso(mg/L rock)
1.200000		243.284560 
3.500000		709.574280 
3.800000		765.581850 
4.000000		831.797220 
4.100000		841.642880 
4.300000		850.906400 
5.000000		959.130820 
8.900000		1157.015260 
45.000000		2684.292750 
166.000000		5862.245600 
172.000000		5962.076030 
215.800000		6550.303570 
272.800000		7178.639530 
351.800000		7922.753280 
438.600000		8601.084520 
610.500000		9668.685070 
1301.800000		12853.030160 
30561.400000		100691.456520 
30824.600000		101059.347310 
